"nation","dealer","part_number","total_sales","month_of_sale","from_period","to_period","compute_period"
"JOSH_CLEAN_AUTOMOBILES","16043","0004801732XX",25.11,"2017 January","2017-01-01","2017-01-31",1
"JOSH_CLEAN_AUTOMOBILES","16043","0009421590XX",77.78,"2017 February","2017-02-01","2017-02-28",1
"JOSH_CLEAN_AUTOMOBILES","16043","0009421590XX",99.88,"2017 February","2017-02-01","2017-02-28",1
"JOSH_CLEAN_AUTOMOBILES","16043","0009A20180XX",12.20,"2016 December","2016-12-01","2016-12-31",1
"JOSH_CLEAN_AUTOMOBILES","16043","0009A20180XX",46.92,"2016 October","2016-10-01","2016-10-31",1
"JOSH_CLEAN_AUTOMOBILES","16043","0009A27700XX",3.21,"2017 April","2017-04-01","2017-04-30",1
"JOSH_CLEAN_AUTOMOBILES","16043","000KT1623JXX",37.37,"2017 January","2017-01-01","2017-01-31",1
"JOSH_CLEAN_AUTOMOBILES","16043","000KT1623KXX",57.13,"2016 April","2016-04-01","2016-04-30",1
"JOSH_CLEAN_AUTOMOBILES","16043","000KT1623SXX",16.62,"2016 April","2016-04-01","2016-04-30",1
"JOSH_CLEAN_AUTOMOBILES","16043","000KT1623SXX",70.57,"2016 October","2016-10-01","2016-10-31",1
