"nation","from_period","to_period","compute_period","dealer","part_number","total_sales","month_of_sale"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","0004801732XX",25.11,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","0009421590XX",177.66,"2017 February"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043","0009A20180XX",12.20,"2016 December"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","0009A20180XX",46.92,"2016 October"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043","0009A27700XX",3.21,"2017 April"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","000KT1623JXX",37.37,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","000KT1623KXX",57.13,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","000KT1623SXX",16.62,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","000KT1623SXX",70.57,"2016 October"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","005110010P",52.22,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","007510900P",63.89,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","008408161A",68.28,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","008408161A",34.35,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","008408182A",9.59,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","008408182A",20.13,"2017 February"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043","009211152A",18.76,"2016 June"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","009211185A",62.73,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","009212182A",26.28,"2017 March"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","009212251A",85.90,"2017 March"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","009213252A",26.22,"2016 April"
