nation,dealer,month_of_penetration,from_period,to_period,compute_period,eligibility
JOSH_CLEAN_AUTOMOBILES,16670,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,94580,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,16043,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,39629,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,41462,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,82833,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,23493,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,85444,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,46568,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,55204,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,82058,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,42571,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,64511,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,83486,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,77238,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,47814,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,56634,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,88252,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,33666,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,66977,2016 October,2016-10-01,2016-10-31,1,ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,74897,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
JOSH_CLEAN_AUTOMOBILES,26400,2016 October,2016-10-01,2016-10-31,1,NOT ELIGIBLE
