"nation","dealer_number","month_of_eligibility","dealer_region","dealer_name","from_period","to_period","compute_period","total_incentive_for_dealers","total_incentive_region_wise","total_incentive_for_nation"
"JOSH_CLEAN_AUTOMOBILES","26400","2016 April","Central","CHARLIE CLARK NIS EL PASO","2016-04-01","2016-04-30",1,325546.32918716102689225,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","41462","2016 April","Central","SAMES KINGSVILLE JOSH","2016-04-01","2016-04-30",1,301411.8309031752571950,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","90641","2016 April","Central","KEATING JOSH","2016-04-01","2016-04-30",1,303183.53273684405535800,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","81976","2016 April","Central","CLAY COOLEY JOSH IRVING","2016-04-01","2016-04-30",1,298787.97670948822050625,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","57620","2016 April","Central","JOSH OF ALVIN","2016-04-01","2016-04-30",1,292715.1796543912574625,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","16043","2016 April","Central","CEDAR PARK JOSH","2016-04-01","2016-04-30",1,285168.2703713054880400,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","20092","2016 April","Central","GRANBURY JOSH","2016-04-01","2016-04-30",1,286554.75377946107536700,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","55204","2016 April","Central","DOUGLASS JOSH OF WACO","2016-04-01","2016-04-30",1,0,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","66977","2016 August","Central","JOSH OF NEW BRAUNFELS","2016-08-01","2016-08-31",1,309458.82554832681715375,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","26400","2016 August","Central","CHARLIE CLARK NIS EL PASO","2016-08-01","2016-08-31",1,312454.2668948391467400,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","21009","2016 August","Central","GUNN JOSH OF DENTON LLC","2016-08-01","2016-08-31",1,309008.39362075601518475,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","23270","2016 August","Central","MATT BOWERS JOSH","2016-08-01","2016-08-31",1,300872.285290009348100,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","69750","2016 August","Central","NAPLETON ST LOUIS JOSH","2016-08-01","2016-08-31",1,158728.89732913446425850,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","35629","2016 December","Central","ORR JOSH OF WICHITA INC","2016-12-01","2016-12-31",1,324689.54475655079036800,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","20092","2016 December","Central","GRANBURY JOSH","2016-12-01","2016-12-31",1,322317.11646518466770125,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","16043","2016 December","Central","CEDAR PARK JOSH","2016-12-01","2016-12-31",1,308210.43519616624117625,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","57620","2016 December","Central","JOSH OF ALVIN","2016-12-01","2016-12-31",1,307942.79302361618578600,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","26400","2016 December","Central","CHARLIE CLARK NIS EL PASO","2016-12-01","2016-12-31",1,302701.40480416147113200,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","87882","2016 December","Central","FENTON JOSH OF LEGENDS","2016-12-01","2016-12-31",1,0,35996961.69803785472054475,241670539.17708708905616050
"JOSH_CLEAN_AUTOMOBILES","90641","2016 July","Central","KEATING JOSH","2016-07-01","2016-07-31",1,320825.49825894911885075,35996961.69803785472054475,241670539.17708708905616050
