"nation","from_period","to_period","compute_period","dealer","dealer_region","month_of_sale","dealer_yoy","region_yoy","rsd"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","Central","2016 April",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16043","Central","2016 August",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043","Central","2016 December",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16043","Central","2016 July",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043","Central","2016 June",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","Central","2016 May",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","Central","2016 November",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","Central","2016 October",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-09-01","2016-09-30",1,"16043","Central","2016 September",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043","Central","2017 April",-0.35225379414158432003,-0.18117729786669743588,1.94424907694979371684
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","Central","2017 February",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","Central","2017 January",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","Central","2017 March",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16329","East","2016 April",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16329","East","2016 August",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16329","East","2016 December",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16329","East","2016 July",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16329","East","2016 June",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16329","East","2016 May",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16329","East","2016 November",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16329","East","2016 October",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2016-09-01","2016-09-30",1,"16329","East","2016 September",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16329","East","2017 April",0.00324959700715810079,0.00518691533386222418,0.62649894937429437449
"JOSH_CLEAN_AUTOMOBILES","2017-08-01","2017-08-31",1,"16329","East","2017 August",-0.00328688989042663570,-0.00742842320157360746,0.44247477576807337686
"JOSH_CLEAN_AUTOMOBILES","2017-12-01","2017-12-31",1,"16329","East","2017 December",0.00274405628045547937,-0.22762949058678788763,-0.01205492431310985144
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16329","East","2017 February",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16329","East","2017 January",0,0,0
"JOSH_CLEAN_AUTOMOBILES","2017-07-01","2017-07-31",1,"16329","East","2017 July",-0.02328698576970352124,-0.00343155182211621452,6.78613845188635283770
"JOSH_CLEAN_AUTOMOBILES","2017-06-01","2017-06-30",1,"16329","East","2017 June",-0.00198734939014908468,-0.00149032217712240721,1.33350319860794386738
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16329","East","2017 March",0,0,0
