"nation","from_period","to_period","compute_period","dealer","dealer_region","month_of_sale","dealer_yoy","region_yoy","rsd"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043","Central","2017 April",-0.35225379414158432003,-0.18117729786669743588,1.94424907694979371684
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16329","East","2017 April",0.00324959700715810079,0.00518691533386222418,0.62649894937429437449
"JOSH_CLEAN_AUTOMOBILES","2017-05-01","2017-05-31",1,"16329","East","2017 May",0.00863315512297232801,-0.00018736345291421137,-46.07704965239520310357
"JOSH_CLEAN_AUTOMOBILES","2017-06-01","2017-06-30",1,"16329","East","2017 June",-0.00198734939014908468,-0.00149032217712240721,1.33350319860794386738
"JOSH_CLEAN_AUTOMOBILES","2017-07-01","2017-07-31",1,"16329","East","2017 July",-0.02328698576970352124,-0.00343155182211621452,6.78613845188635283770
"JOSH_CLEAN_AUTOMOBILES","2017-08-01","2017-08-31",1,"16329","East","2017 August",-0.00328688989042663570,-0.00742842320157360746,0.44247477576807337686
"JOSH_CLEAN_AUTOMOBILES","2017-09-01","2017-09-30",1,"16329","East","2017 September",0.01577244741945841325,0.00097698102662370400,16.14406727422902265739
"JOSH_CLEAN_AUTOMOBILES","2017-10-01","2017-10-31",1,"16329","East","2017 October",0.01094800929530634942,-0.17010238303141585694,-0.06436129288843874839
"JOSH_CLEAN_AUTOMOBILES","2017-11-01","2017-11-30",1,"16329","East","2017 November",-0.00312089675790285606,-0.00142048103531248475,2.19707034470636567323
"JOSH_CLEAN_AUTOMOBILES","2017-12-01","2017-12-31",1,"16329","East","2017 December",0.00274405628045547937,-0.22762949058678788763,-0.01205492431310985144
"JOSH_CLEAN_AUTOMOBILES","2018-01-01","2018-01-31",1,"16329","East","2018 January",-0.01107300732695576820,-0.08210291552860689479,0.13486740703011491080
"JOSH_CLEAN_AUTOMOBILES","2018-02-01","2018-02-28",1,"16329","East","2018 February",-0.01565911047559878479,-0.00152706169840562834,10.25440589070377374554
"JOSH_CLEAN_AUTOMOBILES","2018-03-01","2018-03-31",1,"16329","East","2018 March",-0.00337680936565781872,-0.22734289090085523813,0.01485337567529416662
"JOSH_CLEAN_AUTOMOBILES","2018-04-01","2018-04-30",1,"16329","East","2018 April",0.00113356792174688522,-0.29196892809474684708,-0.00388249506255347505
"JOSH_CLEAN_AUTOMOBILES","2018-05-01","2018-05-31",1,"16329","East","2018 May",-0.68330972578557942963,-0.55179227159031787817,1.23834595184926335239
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"17401","South","2017 April",-0.00600793794987868176,-0.08763069031445742037,0.06855974691423245217
"JOSH_CLEAN_AUTOMOBILES","2017-05-01","2017-05-31",1,"17401","South","2017 May",-0.00522062065919071032,0.000031307053947978710394,-166.755411348047691331942246
"JOSH_CLEAN_AUTOMOBILES","2017-06-01","2017-06-30",1,"17401","South","2017 June",0.00102201567656351585,-0.04843418117968629545,-0.02110112428187715196
"JOSH_CLEAN_AUTOMOBILES","2017-07-01","2017-07-31",1,"17401","South","2017 July",0.02635215589647234936,-0.05193745254812354795,-0.50738252655066788296
"JOSH_CLEAN_AUTOMOBILES","2017-08-01","2017-08-31",1,"17401","South","2017 August",-0.42320248261513708045,-0.03773099810559373164,11.21630764791234254351
