"dealernumber","part_number","total_units_sold","month_of_sale"
"72273","868851AA5B",1,"2018 Apr"
"62052","24810ZN51C",0,"2016 Jun"
"16043","26590ET01A",0,"2016 Jun"
"63670","13213V5002",1,"2016 Jun"
"41139","886019N20A",2,"2018 Apr"
"38503","122153RC6B",1,"2016 Jun"
"41139","88381ZF10B",2,"2018 Apr"
"32262","2230120W62",2,"2016 Jun"
"35629","14831H7301",2,"2016 Jun"
"74143","TBILLP0212",1,"2016 Jun"
"41223","241609JG0B",2,"2016 Jun"
"49499","261903Y300",1,"2016 Jun"
"87367","982113LN0A",1,"2018 Apr"
"81079","D4M604ND0A",2,"2016 Jun"
"23270","23731EA20C",1,"2016 Jun"
"20092","147174L600",1,"2016 Jun"
"61420","1480585A10",0,"2016 Jun"
"88108","F38E01AA0A",2,"2016 Jun"
"29115","240143ZD0C",0,"2016 Jun"
"24539","903005AA0B",0,"2018 Apr"
"53879","62412W3200",0,"2018 Apr"
"50970","1400486G56",1,"2016 Jun"
"81159","240105W016",2,"2016 Jun"
"72273","D0C001NG4A",0,"2018 Apr"
"16329","1322953Y00",1,"2018 Apr"
"72273","240176AS5E",0,"2016 Jun"
"24208","01125N030U",1,"2016 Jun"
"53879","2160645V26",2,"2016 Jun"
"24539","TBILLS2847",1,"2018 Apr"
"72273","128100092",0,"2018 Apr"
"81159","17312P0102",0,"2016 Jun"
"28737","11920W0700",0,"2018 Apr"
"74143","240396GX2B",2,"2018 Apr"
"87367","009225061A",2,"2016 Jun"
"72273","883474CP1A",1,"2018 Apr"
"70866","1472569A07",2,"2016 Jun"
"18073","21511B9800",2,"2016 Jun"
"18073","11940Q5600",1,"2016 Jun"
"68666","11041N4200SV",0,"2016 Jun"
"61107","165901E401",1,"2016 Jun"
"49777","2.24E+06",0,"2016 Jun"
"72763","7642664Y00",0,"2018 Apr"
"72763","18453E8700",2,"2018 Apr"
"49777","1325224F00",0,"2016 Jun"
"63670","8684178G00",0,"2018 Apr"
"69439","21504D0102",1,"2016 Jun"
"70866","132313TU1A",2,"2016 Jun"
"89349","2262007F11",2,"2016 Jun"
"83002","255503TA8A",1,"2016 Jun"
