"nation","from_period","to_period","compute_period","dealer","part_number","total_units_sold","month_of_sale"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","0004801732XX",2,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","0009421590XX",2,"2017 February"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043","0009A20180XX",0,"2016 December"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","0009A20180XX",2,"2016 October"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043","0009A27700XX",0,"2017 April"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","000KT1623JXX",0,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","000KT1623KXX",1,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","000KT1623SXX",0,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","000KT1623SXX",1,"2016 October"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","005110010P",2,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","007510900P",2,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","008408161A",0,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","008408161A",1,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","008408182A",2,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","008408182A",0,"2017 February"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043","009211152A",1,"2016 June"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","009211185A",2,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","009212182A",0,"2017 March"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","009212251A",1,"2017 March"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","009213252A",1,"2016 April"
