nation,from_period,to_period,compute_period,dealer,total_sales,month_of_sale
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,40029.30,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,39308.07,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,38612.19,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,42684.90,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,41584.52,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,39177.47,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,40988.50,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,41547.13,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,44816.15,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,38938.01,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,44078.09,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,38409.49,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,39348.52,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,40539.31,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,39859.89,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,42172.46,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,40857.01,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,39028.69,2016 April
JOSH_CLEAN_AUTOMOBILES,2016-04-01,2016-04-30,1,16043,41103.47,2016 April
