"nation","from_period","to_period","compute_period","dealer","total_sales","month_of_sale"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043",1235742.63,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16043",1288706.80,"2016 August"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043",1270904.10,"2016 December"
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16043",1306569.05,"2016 July"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043",1265403.31,"2016 June"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043",1272768.58,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043",1254008.39,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043",1301262.03,"2016 October"
"JOSH_CLEAN_AUTOMOBILES","2016-09-01","2016-09-30",1,"16043",1239883.22,"2016 September"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043",800447.60,"2017 April"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043",1175649.68,"2017 February"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043",1300455.20,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043",1298473.45,"2017 March"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16329",1252422.99,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16329",1292443.66,"2016 August"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16329",1301565.87,"2016 December"
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16329",1314000.03,"2016 July"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16329",1251566.54,"2016 June"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16329",1292674.56,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16329",1251662.68,"2016 November"
