"dealernumber","total_units_sold","month_of_sale"
"16043",24753,"2016 Apr"
"16043",25589,"2016 Aug"
"16043",25766,"2016 Dec"
"16043",25839,"2016 Jul"
"16043",25038,"2016 Jun"
"16043",25501,"2016 May"
"16043",25224,"2016 Nov"
"16043",25677,"2016 Oct"
"16043",25113,"2016 Sep"
"16043",15986,"2017 Apr"
"16043",23420,"2017 Feb"
"16043",25969,"2017 Jan"
"16043",25906,"2017 Mar"
"16329",24865,"2016 Apr"
"16329",25895,"2016 Aug"
"16329",26120,"2016 Dec"
"16329",26028,"2016 Jul"
"16329",24950,"2016 Jun"
"16329",25789,"2016 May"
"16329",25081,"2016 Nov"
"16329",25608,"2016 Oct"
"16329",25311,"2016 Sep"
"16329",25346,"2017 Apr"
"16329",25770,"2017 Aug"
"16329",25914,"2017 Dec"
"16329",23705,"2017 Feb"
"16329",26115,"2017 Jan"
"16329",25743,"2017 Jul"
"16329",24808,"2017 Jun"
"16329",25730,"2017 Mar"
"16329",26165,"2017 May"
"16329",25206,"2017 Nov"
"16329",26089,"2017 Oct"
"16329",25027,"2017 Sep"
"16329",25243,"2018 Apr"
"16329",23266,"2018 Feb"
"16329",25794,"2018 Jan"
"16329",26071,"2018 Mar"
"16329",8306,"2018 May"
"17401",25493,"2016 Apr"
"17401",25875,"2016 Aug"
"17401",25787,"2016 Dec"
"17401",25697,"2016 Jul"
"17401",25061,"2016 Jun"
"17401",25924,"2016 May"
"17401",25129,"2016 Nov"
"17401",25853,"2016 Oct"
"17401",25240,"2016 Sep"
"17401",25348,"2017 Apr"
"17401",15001,"2017 Aug"
"17401",23494,"2017 Feb"
"17401",25733,"2017 Jan"
"17401",26168,"2017 Jul"
"17401",25212,"2017 Jun"
"17401",26091,"2017 Mar"
"17401",25935,"2017 May"
"17781",25225,"2016 Apr"
"17781",16637,"2016 May"
"18073",24859,"2016 Apr"
"18073",25830,"2016 Aug"
"18073",26161,"2016 Dec"
"18073",26062,"2016 Jul"
"18073",24739,"2016 Jun"
"18073",25887,"2016 May"
"18073",25138,"2016 Nov"
"18073",25830,"2016 Oct"
"18073",24975,"2016 Sep"
"18073",21006,"2017 Jan"
"19835",25475,"2016 Apr"
"19835",25957,"2016 Aug"
"19835",25966,"2016 Dec"
"19835",26074,"2016 Jul"
"19835",25317,"2016 Jun"
"19835",26124,"2016 May"
"19835",24853,"2016 Nov"
"19835",25920,"2016 Oct"
"19835",24778,"2016 Sep"
"19835",24850,"2017 Jan"
"20092",25157,"2016 Apr"
"20092",25984,"2016 Aug"
"20092",25901,"2016 Dec"
"20092",25410,"2016 Jul"
"20092",25149,"2016 Jun"
"20092",25897,"2016 May"
"20092",25284,"2016 Nov"
"20092",25958,"2016 Oct"
"20092",24883,"2016 Sep"
"20092",5923,"2017 Apr"
"20092",23444,"2017 Feb"
"20092",26184,"2017 Jan"
"20092",25923,"2017 Mar"
"20906",25357,"2016 Apr"
"20906",26057,"2016 Aug"
"20906",25982,"2016 Jul"
"20906",25130,"2016 Jun"
"20906",26034,"2016 May"
"20906",873,"2016 Nov"
"20906",25677,"2016 Oct"
"20906",24979,"2016 Sep"
