"nation","from_period","to_period","compute_period","dealer","total_units_sold","month_of_sale"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043",24753,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16043",25589,"2016 August"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043",25766,"2016 December"
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16043",25839,"2016 July"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043",25038,"2016 June"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043",25501,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043",25224,"2016 November"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043",25677,"2016 October"
"JOSH_CLEAN_AUTOMOBILES","2016-09-01","2016-09-30",1,"16043",25113,"2016 September"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043",15986,"2017 April"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043",23420,"2017 February"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043",25969,"2017 January"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043",25906,"2017 March"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16329",24865,"2016 April"
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16329",25895,"2016 August"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16329",26120,"2016 December"
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16329",26028,"2016 July"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16329",24950,"2016 June"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16329",25789,"2016 May"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16329",25081,"2016 November"
