"dealernumber","yearmonth","tier_level"
"16043","2016 Apr","Tier 4"
"16043","2016 Jul","Tier 4"
"16043","2016 May","Tier 4"
"16043","2016 Oct","Tier 4"
"16043","2017 Jan","Tier 4"
"16043","2016 Nov","Tier 4"
"16043","2017 Feb","Tier 4"
"16043","2016 Aug","Tier 4"
"16043","2017 Mar","Tier 4"
"16043","2016 Jun","Tier 4"
"16043","2017 Apr","Tier 4"
"16043","2016 Sep","Tier 4"
"16043","2016 Dec","Tier 4"
"16329","2017 Apr","Tier 4"
"16329","2018 Feb","Tier 4"
"16329","2017 Jun","Tier 4"
"16329","2017 Mar","Tier 4"
"16329","2017 Jul","Tier 4"
"16329","2017 Feb","Tier 4"
"16329","2017 Oct","Tier 4"
"16329","2017 Nov","Tier 4"
"16329","2017 Aug","Tier 4"
"16329","2017 May","Tier 4"
"16329","2017 Sep","Tier 4"
"16329","2018 Jan","Tier 4"
"16329","2017 Dec","Tier 4"
"16329","2018 Apr","Tier 4"
"16329","2018 Mar","Tier 4"
"16329","2018 May","Tier 4"
"17401","2016 Nov","Tier 4"
"17401","2017 Apr","Tier 4"
"17401","2017 Aug","Tier 4"
"17401","2016 Dec","Tier 4"
"17401","2017 Jun","Tier 4"
"17401","2016 Aug","Tier 4"
"17401","2017 Feb","Tier 4"
"17401","2016 Oct","Tier 4"
"17401","2016 Jul","Tier 4"
"17401","2017 May","Tier 4"
"17401","2016 Sep","Tier 4"
"17401","2016 Jun","Tier 4"
"17401","2017 Jan","Tier 4"
"17401","2017 Jul","Tier 4"
"17401","2017 Mar","Tier 4"
"17401","2016 May","Tier 4"
"17781","2016 May","Tier 4"
"17781","2016 Apr","Tier 4"
"18073","2016 Nov","Tier 4"
"18073","2016 Jun","Tier 4"
"18073","2016 Apr","Tier 4"
"18073","2016 Aug","Tier 4"
"18073","2016 Oct","Tier 4"
"18073","2017 Jan","Tier 4"
"18073","2016 Jul","Tier 4"
"18073","2016 Dec","Tier 4"
"18073","2016 May","Tier 4"
"18073","2016 Sep","Tier 4"
"19835","2016 Nov","Tier 4"
"19835","2016 Jul","Tier 4"
"19835","2016 Dec","Tier 4"
"19835","2016 Apr","Tier 4"
"19835","2016 May","Tier 4"
"19835","2016 Sep","Tier 4"
"19835","2016 Aug","Tier 4"
"19835","2017 Jan","Tier 4"
"19835","2016 Oct","Tier 4"
"19835","2016 Jun","Tier 4"
"20092","2016 Aug","Tier 4"
"20092","2017 Feb","Tier 4"
"20092","2017 Apr","Tier 4"
"20092","2016 Dec","Tier 4"
"20092","2016 Sep","Tier 4"
"20092","2017 Jan","Tier 4"
"20092","2017 Mar","Tier 4"
"20092","2016 Jun","Tier 4"
"20092","2016 Nov","Tier 4"
"20092","2016 Apr","Tier 4"
"20092","2016 Oct","Tier 4"
"20092","2016 May","Tier 4"
"20092","2016 Jul","Tier 4"
"20906","2016 Apr","Tier 4"
"20906","2016 Jun","Tier 4"
"20906","2016 Nov","Tier 4"
"20906","2016 May","Tier 4"
"20906","2016 Jul","Tier 4"
"20906","2016 Sep","Tier 4"
"20906","2016 Oct","Tier 4"
"20906","2016 Aug","Tier 4"
"21009","2017 May","Tier 4"
"21009","2016 Apr","Tier 4"
"21009","2017 Feb","Tier 4"
"21009","2017 Jul","Tier 4"
"21009","2016 Aug","Tier 4"
"21009","2017 Jan","Tier 4"
"21009","2016 Sep","Tier 4"
"21009","2016 May","Tier 4"
"21009","2017 Apr","Tier 4"
"21009","2017 Mar","Tier 4"
"21009","2016 Nov","Tier 4"
