"nation","from_period","to_period","compute_period","dealer","month_of_sale","tier_level"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","2016 April","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16043","2016 July","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","2016 May","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","2016 October","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","2017 January","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","2016 November","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","2017 February","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16043","2016 August","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","2017 March","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043","2016 June","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043","2017 April","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-09-01","2016-09-30",1,"16043","2016 September","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043","2016 December","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16329","2017 April","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2018-02-01","2018-02-28",1,"16329","2018 February","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-06-01","2017-06-30",1,"16329","2017 June","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16329","2017 March","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-07-01","2017-07-31",1,"16329","2017 July","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16329","2017 February","Tier 4"
"JOSH_CLEAN_AUTOMOBILES","2017-10-01","2017-10-31",1,"16329","2017 October","Tier 4"
