"dealernumber","month_of_incentive","parts_incentive"
"16043","2016 Apr",288556.5903713054880400
"16043","2016 Aug",318766.24732874223888525
"16043","2016 Dec",311014.00059616624117625
"16043","2016 Jul",328507.04543607676177700
"16043","2016 Jun",296215.57507581418604275
"16043","2016 May",312686.94127836480437975
"16043","2016 Nov",308431.28127336713373925
"16043","2016 Oct",314730.80682423963248375
"16043","2016 Sep",291327.46909204043895275
"16043","2017 Apr",178821.52068020913005200
"16043","2017 Feb",292772.84070389843732700
"16043","2017 Jan",322617.95061314850598625
"16043","2017 Mar",313105.90881509200632525
"16329","2017 Apr",301642.5912135366589475
"16329","2017 Aug",317022.51205581194013550
"16329","2017 Dec",304751.28686120999752975
"16329","2017 Feb",289545.86989289417863325
"16329","2017 Jul",311744.92677207653075325
"16329","2017 Jun",312460.85327265580594800
"16329","2017 Mar",321012.07611323376297600
"16329","2017 May",315278.53222924972921950
"16329","2017 Nov",309069.7567547136634650
"16329","2017 Oct",317130.36498106320201625
"16329","2017 Sep",300239.42145464429258925
"16329","2018 Apr",290671.4068547900736400
"16329","2018 Feb",276986.8401820508867125
"16329","2018 Jan",311704.34759914496988225
"16329","2018 Mar",326309.48427025983780950
"16329","2018 May",91058.09358632570207025
"17401","2016 Aug",311378.6603096217051200
"17401","2016 Dec",312544.13970777173786675
"17401","2016 Jul",306142.72275229493677350
"17401","2016 Jun",303970.76496436999141525
"17401","2016 May",308049.20240984738319950
"17401","2016 Nov",315679.30638736942410150
"17401","2016 Oct",319764.47508840895444425
"17401","2016 Sep",302214.73997093905061875
"17401","2017 Apr",308071.3593319092765425
"17401","2017 Aug",187563.46559539034367325
"17401","2017 Feb",282522.51108704006970125
"17401","2017 Jan",321320.44167194873542225
"17401","2017 Jul",319275.79293552891611525
"17401","2017 Jun",307765.41391966313123425
"17401","2017 Mar",312449.3163320776328475
"17401","2017 May",313424.13918575051277875
"17781","2016 Apr",312753.14510270871966825
"17781","2016 May",196274.7481147129223375
"18073","2016 Apr",316839.06986176364123625
"18073","2016 Aug",319857.27978294613211775
"18073","2016 Dec",322975.90249084298462400
"18073","2016 Jul",327177.32288219015747875
"18073","2016 Jun",294723.9050180707261600
"18073","2016 May",309408.97421153032482275
"18073","2016 Nov",308863.6078353153392375
"18073","2016 Oct",333457.8691185579612875
"18073","2016 Sep",307936.30010985856503400
"18073","2017 Jan",249270.04772250864357325
"19835","2016 Apr",305577.23973317303806375
"19835","2016 Aug",307994.57746938575059875
"19835","2016 Dec",316891.8482578546002575
"19835","2016 Jul",315589.38105039172320825
"19835","2016 Jun",301774.07550131222457400
"19835","2016 May",312304.97480467598438600
"19835","2016 Nov",305382.24386315535455225
"19835","2016 Oct",310390.99079399004429575
"19835","2016 Sep",309531.53943140695542125
"19835","2017 Jan",312260.08499439023732475
"20092","2016 Apr",289511.98537946107536700
"20092","2016 Aug",310006.7660349141254400
"20092","2016 Dec",324889.00746518466770125
"20092","2016 Jul",315766.6218504882723050
"20092","2016 Jun",299109.24236628965138725
"20092","2016 May",312332.69155070360899650
"20092","2016 Nov",306917.1475618398860025
"20092","2016 Oct",310648.71618855882436025
"20092","2016 Sep",318473.95365273164659200
"20092","2017 Apr",70001.77366128582507900
"20092","2017 Feb",283972.72638032026589525
"20092","2017 Jan",321787.5361893332004550
"20092","2017 Mar",323645.20459806370586475
"20906","2016 Apr",298534.0254652680545900
"20906","2016 Aug",316973.23440290814041925
"20906","2016 Jul",327277.09027142696977325
"20906","2016 Jun",301926.39976294660121575
"20906","2016 May",322568.75749724609404325
"20906","2016 Nov",6417.19531232453733775
"20906","2016 Oct",310394.81869541019648775
"20906","2016 Sep",322968.15895908361374800
"21009","2016 Apr",305020.19029471048713375
"21009","2016 Aug",312133.43382075601518475
"21009","2016 Dec",312396.44406456318646375
"21009","2016 Jul",319658.44377645781338100
"21009","2016 Jun",289473.42108953145444400
"21009","2016 May",322735.0106022476226075
"21009","2016 Nov",303510.49792955117523950
"21009","2016 Oct",314541.65063362823874375
"21009","2016 Sep",314396.73831705382466775
"21009","2017 Apr",305090.07761636135876375
"21009","2017 Feb",303562.02308677220940775
