"nation","from_period","to_period","compute_period","dealer","month_of_incentive","parts_incentive"
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"16043","2016 April",285168.2703713054880400
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"16043","2016 July",325616.71163607676177700
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"16043","2016 May",309371.83447836480437975
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"16043","2016 October",311028.11682423963248375
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"16043","2017 January",319244.66061314850598625
"JOSH_CLEAN_AUTOMOBILES","2016-11-01","2016-11-30",1,"16043","2016 November",304704.09507336713373925
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16043","2017 February",289576.86150389843732700
"JOSH_CLEAN_AUTOMOBILES","2016-08-01","2016-08-31",1,"16043","2016 August",315130.16452874223888525
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16043","2017 March",309894.54501509200632525
"JOSH_CLEAN_AUTOMOBILES","2016-06-01","2016-06-30",1,"16043","2016 June",292644.93667581418604275
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16043","2017 April",176477.18088020913005200
"JOSH_CLEAN_AUTOMOBILES","2016-09-01","2016-09-30",1,"16043","2016 September",288371.22829204043895275
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"16043","2016 December",307910.43519616624117625
"JOSH_CLEAN_AUTOMOBILES","2017-04-01","2017-04-30",1,"16329","2017 April",298374.6300135366589475
"JOSH_CLEAN_AUTOMOBILES","2018-02-01","2018-02-28",1,"16329","2018 February",273777.5247820508867125
"JOSH_CLEAN_AUTOMOBILES","2017-06-01","2017-06-30",1,"16329","2017 June",309040.11527265580594800
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"16329","2017 March",318196.96791323376297600
"JOSH_CLEAN_AUTOMOBILES","2017-07-01","2017-07-31",1,"16329","2017 July",307970.67777207653075325
"JOSH_CLEAN_AUTOMOBILES","2017-02-01","2017-02-28",1,"16329","2017 February",286549.60069289417863325
