"region","dealernumber","dealername","month_of_sales","total_sales","additional_incentive"
"Central","24630","ORR JOSH WEST","2018 March",1871613.28,300
"Central","81976","CLAY COOLEY JOSH IRVING","2016 May",1870865.43,300
"Central","33522","SOUTH AUSTIN JOSH","2017 March",1848795.32,300
"Central","46568","MCLARTY JOSH OF BENTON","2016 December",1840313.90,300
"Central","35629","ORR JOSH OF WICHITA INC","2017 August",1837194.29,300
"Central","66977","JOSH OF NEW BRAUNFELS","2016 October",1837000.48,300
"Central","46568","MCLARTY JOSH OF BENTON","2017 March",1836597.97,300
"Central","78444","ORR JOSH OF HOT SPRINGS","2016 October",1832244.48,300
"Central","90641","KEATING JOSH","2016 July",1829576.16,300
"Central","23270","MATT BOWERS JOSH","2016 May",1828751.08,300
"Central","33522","SOUTH AUSTIN JOSH","2016 December",1828300.47,300
"Central","78444","ORR JOSH OF HOT SPRINGS","2017 January",1828193.19,300
"Central","16043","CEDAR PARK JOSH","2016 July",1825779.77,300
"Central","33522","SOUTH AUSTIN JOSH","2017 May",1825617.72,300
"Central","24630","ORR JOSH WEST","2016 May",1825584.98,300
"Central","26400","CHARLIE CLARK NIS EL PASO","2016 April",1823594.87,300
"Central","21009","GUNN JOSH OF DENTON LLC","2016 July",1823501.31,300
"Central","46058","ROUTE 66 JOSH OF TULSA","2017 January",1822660.22,300
"Central","78444","ORR JOSH OF HOT SPRINGS","2017 March",1821834.36,300
"Central","35629","ORR JOSH OF WICHITA INC","2016 December",1821483.88,300
