"nation","from_period","to_period","compute_period","dealer_region","dealer_number","dealer_name","month_of_sales","total_sales","additional_incentive"
"JOSH_CLEAN_AUTOMOBILES","2018-03-01","2018-03-31",1,"Central","24630","ORR JOSH WEST","2018 March",1871613.28,300
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"Central","81976","CLAY COOLEY JOSH IRVING","2016 May",1870865.43,300
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"Central","33522","SOUTH AUSTIN JOSH","2017 March",1848795.32,300
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"Central","46568","MCLARTY JOSH OF BENTON","2016 December",1840313.90,300
"JOSH_CLEAN_AUTOMOBILES","2017-08-01","2017-08-31",1,"Central","35629","ORR JOSH OF WICHITA INC","2017 August",1837194.29,300
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"Central","66977","JOSH OF NEW BRAUNFELS","2016 October",1837000.48,300
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"Central","46568","MCLARTY JOSH OF BENTON","2017 March",1836597.97,300
"JOSH_CLEAN_AUTOMOBILES","2016-10-01","2016-10-31",1,"Central","78444","ORR JOSH OF HOT SPRINGS","2016 October",1832244.48,300
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"Central","90641","KEATING JOSH","2016 July",1829576.16,300
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"Central","23270","MATT BOWERS JOSH","2016 May",1828751.08,300
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"Central","33522","SOUTH AUSTIN JOSH","2016 December",1828300.47,300
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"Central","78444","ORR JOSH OF HOT SPRINGS","2017 January",1828193.19,300
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"Central","16043","CEDAR PARK JOSH","2016 July",1825779.77,300
"JOSH_CLEAN_AUTOMOBILES","2017-05-01","2017-05-31",1,"Central","33522","SOUTH AUSTIN JOSH","2017 May",1825617.72,300
"JOSH_CLEAN_AUTOMOBILES","2016-05-01","2016-05-31",1,"Central","24630","ORR JOSH WEST","2016 May",1825584.98,300
"JOSH_CLEAN_AUTOMOBILES","2016-04-01","2016-04-30",1,"Central","26400","CHARLIE CLARK NIS EL PASO","2016 April",1823594.87,300
"JOSH_CLEAN_AUTOMOBILES","2016-07-01","2016-07-31",1,"Central","21009","GUNN JOSH OF DENTON LLC","2016 July",1823501.31,300
"JOSH_CLEAN_AUTOMOBILES","2017-01-01","2017-01-31",1,"Central","46058","ROUTE 66 JOSH OF TULSA","2017 January",1822660.22,300
"JOSH_CLEAN_AUTOMOBILES","2017-03-01","2017-03-31",1,"Central","78444","ORR JOSH OF HOT SPRINGS","2017 March",1821834.36,300
"JOSH_CLEAN_AUTOMOBILES","2016-12-01","2016-12-31",1,"Central","35629","ORR JOSH OF WICHITA INC","2016 December",1821483.88,300
