"dealernumber","month_of_incentive","tires_incentive"
"16043","2016 April",0
"16043","2016 August",100
"16043","2016 December",0
"16043","2016 July",100
"16043","2016 June",150
"16043","2016 May",100
"16043","2016 November",0
"16043","2016 October",150
"16043","2016 September",0
"16043","2017 April",0
"16043","2017 February",150
"16043","2017 January",0
"16043","2017 March",250
"16329","2017 April",0
"16329","2017 August",0
"16329","2017 December",100
"16329","2017 February",0
"16329","2017 July",150
"16329","2017 June",100
"16329","2017 March",0
