"month_of_sale","dealernumber","total_units_sold","addtional_top_10_incentive"
"2016 April","20092",2,6
"2016 April","17401",2,6
"2016 April","39144",2,6
"2016 April","66509",2,6
"2016 April","82953",2,6
"2016 April","39780",1,3
"2016 April","76124",1,3
"2016 April","77994",1,3
"2016 April","21009",1,3
"2016 April","27792",1,3
"2016 August","26400",4,12
"2016 August","24539",2,6
"2016 August","17401",2,6
"2016 August","32241",2,6
"2016 August","38503",2,6
"2016 August","41223",2,6
"2016 August","55269",2,6
"2016 August","72763",2,6
"2016 August","76124",2,6
"2016 August","83002",2,6
