dealer_name,month_of_eligibility,dealer_region,dealer_name,from_period,to_period,compute_period,total_incentive
16043,2016 July,Central,CEDAR PARK JOSH,2016-07-01,2016-07-31,1,326016.711636076761777
16043,2016 June,Central,CEDAR PARK JOSH,2016-06-01,2016-06-30,1,293703.936675814186042
16043,2016 November,Central,CEDAR PARK JOSH,2016-11-01,2016-11-30,1,305601.095073367133739
16043,2017 February,Central,CEDAR PARK JOSH,2017-02-01,2017-02-28,1,290026.861503898437327
16329,2017 June,East,"JOSH OF CORINTH, LLC",2017-06-01,2017-06-30,1,309440.115272655805948
16329,2018 February,East,"JOSH OF CORINTH, LLC",2018-02-01,2018-02-28,1,274227.524782050886712
16329,2018 March,East,"JOSH OF CORINTH, LLC",2018-03-01,2018-03-31,1,323228.562270259837809
16329,2018 May,East,"JOSH OF CORINTH, LLC",2018-05-01,2018-05-31,1,90789.8071863257020702
17401,2016 October,South,FOX ANN ARBOR JOSH,2016-10-01,2016-10-31,1,316891.447688408954444
17401,2017 April,South,FOX ANN ARBOR JOSH,2017-04-01,2017-04-30,1,305660.129131909276542
17401,2017 May,South,FOX ANN ARBOR JOSH,2017-05-01,2017-05-31,1,310368.580185750512778
17781,2016 April,East,JOSH OF ELIZABETH CITY,2016-04-01,2016-04-30,1,309641.301502708719668
18073,2016 April,Northeast,BOCH JOSH,2016-04-01,2016-04-30,1,314236.762461763641236
18073,2016 December,Northeast,BOCH JOSH,2016-12-01,2016-12-31,1,319806.471490842984624
18073,2016 October,Northeast,BOCH JOSH,2016-10-01,2016-10-31,1,330086.475718557961287
19835,2016 December,West,LARRY H MILLER NIS COR,2016-12-01,2016-12-31,1,313711.221257854600257
19835,2016 September,West,LARRY H MILLER NIS COR,2016-09-01,2016-09-30,1,306788.627831406955421
20092,2016 December,Central,GRANBURY JOSH,2016-12-01,2016-12-31,1,322317.116465184667701
20092,2016 May,Central,GRANBURY JOSH,2016-05-01,2016-05-31,1,309263.555950703608996
20092,2016 November,Central,GRANBURY JOSH,2016-11-01,2016-11-30,1,304819.27761839886002
20906,2016 August,East,AWESOME JOSH/BRUNSV,2016-08-01,2016-08-31,1,313561.562402908140419
20906,2016 July,East,AWESOME JOSH/BRUNSV,2016-07-01,2016-07-31,1,324297.304871426969773
20906,2016 September,East,AWESOME JOSH/BRUNSV,2016-09-01,2016-09-30,1,319810.906159083613748
21009,2016 July,Central,JOHN JOSH OF DENTON,2016-07-01,2016-07-31,1,316631.400376457813381
