"nation","dealer_number","dealer_name","month_of_eligibility","dealer_region","from_period","to_period","compute_period","total_incentive"
"JOSH_CLEAN_AUTOMOBILES","26400","CHARLIE CLARK NIS EL PASO","2016 April","Central","2016-04-01","2016-04-30",1,325546.32918716102689225
"JOSH_CLEAN_AUTOMOBILES","41462","SAMES KINGSVILLE JOSH","2016 April","Central","2016-04-01","2016-04-30",1,301411.8309031752571950
"JOSH_CLEAN_AUTOMOBILES","90641","KEATING JOSH","2016 April","Central","2016-04-01","2016-04-30",1,303183.53273684405535800
"JOSH_CLEAN_AUTOMOBILES","81976","CLAY COOLEY JOSH IRVING","2016 April","Central","2016-04-01","2016-04-30",1,298787.97670948822050625
"JOSH_CLEAN_AUTOMOBILES","57620","JOSH OF ALVIN","2016 April","Central","2016-04-01","2016-04-30",1,292715.1796543912574625
"JOSH_CLEAN_AUTOMOBILES","16043","CEDAR PARK JOSH","2016 April","Central","2016-04-01","2016-04-30",1,285168.2703713054880400
"JOSH_CLEAN_AUTOMOBILES","20092","GRANBURY JOSH","2016 April","Central","2016-04-01","2016-04-30",1,286554.75377946107536700
"JOSH_CLEAN_AUTOMOBILES","55204","DOUGLASS JOSH OF WACO","2016 April","Central","2016-04-01","2016-04-30",1,0
"JOSH_CLEAN_AUTOMOBILES","66977","JOSH OF NEW BRAUNFELS","2016 August","Central","2016-08-01","2016-08-31",1,309458.82554832681715375
"JOSH_CLEAN_AUTOMOBILES","26400","CHARLIE CLARK NIS EL PASO","2016 August","Central","2016-08-01","2016-08-31",1,312454.2668948391467400
"JOSH_CLEAN_AUTOMOBILES","21009","GUNN JOSH OF DENTON LLC","2016 August","Central","2016-08-01","2016-08-31",1,309008.39362075601518475
"JOSH_CLEAN_AUTOMOBILES","23270","MATT BOWERS JOSH","2016 August","Central","2016-08-01","2016-08-31",1,300872.285290009348100
"JOSH_CLEAN_AUTOMOBILES","69750","NAPLETON ST LOUIS JOSH","2016 August","Central","2016-08-01","2016-08-31",1,158728.89732913446425850
"JOSH_CLEAN_AUTOMOBILES","35629","ORR JOSH OF WICHITA INC","2016 December","Central","2016-12-01","2016-12-31",1,324689.54475655079036800
"JOSH_CLEAN_AUTOMOBILES","20092","GRANBURY JOSH","2016 December","Central","2016-12-01","2016-12-31",1,322317.11646518466770125
"JOSH_CLEAN_AUTOMOBILES","16043","CEDAR PARK JOSH","2016 December","Central","2016-12-01","2016-12-31",1,308210.43519616624117625
"JOSH_CLEAN_AUTOMOBILES","57620","JOSH OF ALVIN","2016 December","Central","2016-12-01","2016-12-31",1,307942.79302361618578600
"JOSH_CLEAN_AUTOMOBILES","26400","CHARLIE CLARK NIS EL PASO","2016 December","Central","2016-12-01","2016-12-31",1,302701.40480416147113200
"JOSH_CLEAN_AUTOMOBILES","87882","FENTON JOSH OF LEGENDS","2016 December","Central","2016-12-01","2016-12-31",1,0
"JOSH_CLEAN_AUTOMOBILES","90641","KEATING JOSH","2016 July","Central","2016-07-01","2016-07-31",1,320825.49825894911885075
